0 0.222957 2202.65
0.1 0.264801 2180.73
0.2 0.302167 2159.03
0.3 0.331285 2137.55
0.4 0.348967 2116.28
0.5 0.35318 2095.22
0.6 0.343428 2074.37
0.7 0.320852 2053.73
0.8 0.288005 2033.3
0.9 0.248385 2013.07
1 0.205815 1993.04
1.1 0.163854 1973.21
1.2 0.125334 1953.57
1.3 0.0921095 1934.13
1.4 0.0650384 1914.89
1.5 0.0441229 1895.84
1.6 0.0287598 1876.97
1.7 0.0180109 1858.3
1.8 0.0108371 1839.81
1.9 0.006265 1821.5
2 0.00347982 1803.37
2.1 0.00185704 1785.43
2.2 0.000952193 1767.67
2.3 0.000469158 1750.08
2.4 0.000222289 1732.66
2.5 0.000101718 1715.42
2.6 4.61056e-05 1698.35
2.7 2.35604e-05 1681.46
2.8 1.97235e-05 1664.72
2.9 3.15087e-05 1648.16
3 6.52717e-05 1631.76
3.1 0.000138753 1615.52
3.2 0.000286682 1599.45
3.3 0.0005702 1583.53
3.4 0.00108999 1567.78
3.5 0.00200202 1552.18
3.6 0.00353303 1536.73
3.7 0.00599039 1521.44
3.8 0.00975867 1506.3
3.9 0.0152741 1491.32
4 0.0229692 1476.48
4.1 0.0331869 1461.79
4.2 0.0460697 1447.24
4.3 0.0614458 1432.84
4.4 0.0787403 1418.58
4.5 0.0969461 1404.47
4.6 0.114681 1390.49
4.7 0.130341 1376.66
4.8 0.142331 1362.96
4.9 0.14933 1349.4
5 0.150529 1335.97
5.1 0.145788 1322.68
5.2 0.135661 1309.52
5.3 0.121287 1296.49
5.4 0.104184 1283.59
5.5 0.0859835 1270.82
5.6 0.0681803 1258.17
5.7 0.0519435 1245.65
5.8 0.0380216 1233.26
5.9 0.0267399 1220.99
6 0.0180682 1208.84
6.1 0.0117301 1196.81
6.2 0.00731667 1184.9
6.3 0.00438485 1173.11
6.4 0.00252478 1161.44
6.5 0.00139676 1149.88
6.6 0.000742417 1138.44
6.7 0.000379142 1127.11
6.8 0.000186031 1115.9
6.9 8.76992e-05 1104.79
7 3.97228e-05 1093.8
7.1 1.72883e-05 1082.92
7.2 7.23447e-06 1072.14
7.3 2.92556e-06 1061.48
7.4 1.18913e-06 1050.91
7.5 6.19652e-07 1040.46
7.6 7.32411e-07 1030.1
7.7 1.65827e-06 1019.85
7.8 4.26588e-06 1009.71
7.9 1.07965e-05 999.66
8 2.63323e-05 989.713
8.1 6.17282e-05 979.865
8.2 0.000139036 970.115
8.3 0.000300887 960.462
8.4 0.000625614 950.906
8.5 0.00124979 941.444
8.6 0.00239882 932.077
8.7 0.00442371 922.802
8.8 0.00783796 913.62
8.9 0.0133428 904.529
9 0.0218233 895.529
9.1 0.0342943 886.619
9.2 0.0517787 877.797
9.3 0.0751119 869.062
9.4 0.104687 860.415
9.5 0.140187 851.854
9.6 0.180364 843.378
9.7 0.222957 834.986
9.8 0.264801 826.678
9.9 0.302168 818.452
10 0.331288 810.308
10.1 0.348976 802.246
10.2 0.353201 794.263
10.3 0.343479 786.36
10.4 0.320967 778.536
10.5 0.288259 770.789
10.6 0.24892 763.12
10.7 0.206903 755.527
10.8 0.165976 748.009
10.9 0.129308 740.566
11 0.0992655 733.197
11.1 0.0774167 725.902
11.2 0.0646952 718.679
11.3 0.0616096 711.528
11.4 0.0684086 704.448
11.5 0.0851248 697.439
11.6 0.111474 690.499
11.7 0.146637 683.629
11.8 0.189014 676.826
11.9 0.236037 670.092
12 0.284177 663.424
12.1 0.329185 656.823
12.2 0.366581 650.288
12.3 0.392312 643.817
12.4 0.403425 637.411
12.5 0.398602 631.069
12.6 0.378401 624.79
12.7 0.34514 618.573
12.8 0.302461 612.418
12.9 0.25467 606.324
13 0.206028 600.291
13.1 0.160155 594.318
13.2 0.119645 588.405
13.3 0.0859428 582.55
13.4 0.0594497 576.753
13.5 0.0397808 571.015
13.6 0.0260872 565.333
13.7 0.0173632 559.708
13.8 0.0126839 554.139
13.9 0.0113541 548.625
14 0.0129641 543.166
14.1 0.0173663 537.761
14.2 0.0245878 532.411
14.3 0.034699 527.113
14.4 0.04766 521.868
14.5 0.0631727 516.675
14.6 0.0805702 511.534
14.7 0.0987785 506.445
14.8 0.116373 501.405
14.9 0.131732 496.416
15 0.143274 491.477
15.1 0.149719 486.587
15.2 0.150318 481.745
15.3 0.145003 476.952
15.4 0.134391 472.206
15.5 0.119672 467.507
15.6 0.102387 462.855
15.7 0.084163 458.25
15.8 0.0664703 453.69
15.9 0.0504385 449.176
16 0.0367727 444.707
16.1 0.0257583 440.282
16.2 0.0173355 435.901
16.3 0.0112094 431.564
16.4 0.00696401 427.269
16.5 0.00415684 423.018
16.6 0.00238394 418.809
16.7 0.00131358 414.642
16.8 0.000695416 410.516
16.9 0.000353722 406.431
17 0.000172865 402.387
17.1 8.11672e-05 398.383
17.2 3.66169e-05 394.419
17.3 1.58713e-05 390.495
17.4 6.60952e-06 386.609
17.5 2.64458e-06 382.763
17.6 1.01665e-06 378.954
17.7 3.75504e-07 375.183
17.8 1.33257e-07 371.45
17.9 4.54362e-08 367.754
18 1.4886e-08 364.095
18.1 4.68744e-09 360.472
18.2 1.4206e-09 356.885
18.3 4.1761e-10 353.334
18.4 1.24814e-10 349.819
18.5 4.82562e-11 346.338
18.6 3.99022e-11 342.892
18.7 6.18252e-11 339.48
18.8 1.13539e-10 336.102
18.9 2.13805e-10 332.758
19 4.02247e-10 329.447
19.1 7.5201e-10 326.169
19.2 1.39454e-09 322.923
19.3 2.56298e-09 319.71
19.4 4.66631e-09 316.529
